,Title,Company,Location,Salary
0,newFind jobs with Flexible Hours!,Indeed Gigs,"Manhattan, NY+11 locations•Remote",none
1,"newLive-In Aides $221-$230/day, Home Health Aides, Personal Car...",Anchor Home Health Care Services,"New York, NY 10022 (Upper East Side area)+4 locations",none
2,Package Room Attendant,TF Cornerstone,"New York, NY 10019 (Hell's Kitchen area)",none
3,Data Entry Specialist,Benefit Funds Office,"New York, NY 10016 (Murray Hill area)",none
4,East Village Tutors Needed – All Subjects Grade Potential Fr...,Grade Potential Tutoring,"East Village, NY+51 locations",none
5,Maintainer Handler,Metropolitan Museum of Art,"New York, NY 00083 (Central Park area)+1 location",none
6,Package Room Attendant (Long Island City),TF Cornerstone,"Long Island City, NY 11101+4 locations",none
7,newConcierge - Luxury Residential,Planned Companies,"New York, NY 10011 (Chelsea area)+18 locations",none
8,newOffice Help,CALL-A-HEAD CORP.,"Oceanside, NY+1 location",none
9,Mortgage Banker - Trainee Program,Network Capital Funding Corporation,"New York, NY 10007 (Financial District area)+2 locations",none
10,Personal Assistant,SA Baxter Architectural Hardware,"New York, NY",none
11,newFront Desk Receptionist/Discharge,NYC PRIVATE RADIOLOGY PRACTICE,"New York, NY 10022 (Midtown area)",none
12,Dental Front Desk,Bensonhurst Dental,"New York, NY 11214 (Bensonhurst area)+2 locations",none
13,Medical Receptionist,dr michael jacobs,"New York, NY 10021 (Upper East Side area)",none
14,newEvent Security Officer,Confidential,"New York, NY+4 locations",none
15,newFind jobs with Flexible Hours!,Indeed Gigs,"Manhattan, NY+11 locations•Remote",none
16,new$20.50 Hourly Security & Guest Services - Barclays Center,BEST Crowd Management (Gardaworld),"Brooklyn, NY 11217 (Boerum Hill area)",none
17,East Village Tutors Needed – All Subjects Grade Potential Fr...,Grade Potential Tutoring,"East Village, NY+51 locations",none
18,Mailroom Clerk / Receptionist,Benefit Funds Office,"New York, NY 10016 (Murray Hill area)",none
19,Call Center Associate (part-time) – Remote,The College of Westchester,"White Plains, NY 10606•Remote",none
20,Data Entry Specialist,Benefit Funds Office,"New York, NY 10016 (Murray Hill area)",none
21,Exhibit Attendant,Lighthouse Immersive,"New York, NY 10002 (Lower East Side area)",none
22,Ticket/Gate Agent (Customer Service Agent) - JFK,Delta,"New York, NY",none
23,newCustomer Service Assistant,Nordstrom,"New York, NY+6 locations",none
24,newAdministrative Assistant,Mount Sinai Health System,"New York, NY 10029 (East Harlem area)+25 locations",none
25,newPrivate Caregiver,New Solutions Home Care,"New York, NY",none
26,newMailroom Clerk,Cushman & Wakefield,"New York, NY 10013 (Tribeca area)",none
27,newUnion member Customer Service Rep,YA Marketing Agency,"Bronx, NY•Remote",none
28,newAdministrative Assistant,Solomon Page,"New York, NY 10036 (Midtown area)+1 location",none
29,newCrew,Trader Joe's,"New York, NY 10003 (Greenwich Village area)+15 locations",none
